09-11;21:31:38.262;527;289390;6237846
09-11;21:31:38.535;155;269820;6237846
09-11;21:31:38.612;76;205092;11553894
09-11;21:31:38.966;264;1069;11553894
09-11;21:31:40.197;1115;898131;6443989
09-11;21:31:40.826;506;586462;9272126
09-11;21:31:41.277;450;422640;7513600
09-11;21:31:43.281;1888;1575268;6674864
09-11;21:31:43.652;290;418978;6674864
09-11;21:31:44.069;417;1310088;25133582
09-11;21:31:45.738;1579;1297931;6575964
09-11;21:31:46.089;250;382293;6575964
09-11;21:31:46.534;445;1335459;24008252
09-11;21:32:07.435;1113;1538136;11055784
09-11;21:32:07.687;164;375158;11055784
09-11;21:32:07.824;136;508027;18300390
09-11;21:32:08.644;642;1286550;16031775
09-11;21:32:09.428;649;594892;16031775
09-11;21:32:10.040;612;919703;12022261
09-11;21:32:27.210;540;1367757;20263066
09-11;21:32:27.506;204;454181;20263066
09-11;21:32:27.840;334;1223452;29304240
09-11;21:32:29.479;1558;1212436;6225602
09-11;21:32:29.839;277;214625;6225602
09-11;21:32:30.220;381;1255658;26365522
09-11;21:32:46.888;1884;1584934;6730080
09-11;21:32:47.318;293;249979;6730080
09-11;21:32:48.988;1670;1480392;7091698
09-11;21:32:50.552;1466;1537806;8391847
09-11;21:32:51.002;337;510554;8391847
09-11;21:32:51.369;368;1195596;25991216
09-11;21:33:07.592;1222;1500247;9821584
09-11;21:33:07.997;298;265224;9821584
09-11;21:33:09.031;1034;1511222;11692239
09-11;21:33:09.677;536;1407994;21014836
09-11;21:33:10.082;279;226430;21014836
09-11;21:33:10.460;378;514982;10899089
09-11;21:33:27.956;244;88574;10899089
09-11;21:33:28.201;245;247644;8086334
09-11;21:33:28.335;52;26921;8086334
09-11;21:35:25.777;336;292348;6960666
09-11;21:35:26.251;474;182564;6960666
09-11;21:35:26.809;430;1069;6960666
09-11;21:35:27.939;1017;898131;6960666
09-11;21:35:28.359;318;271070;6960666
09-11;21:35:29.179;820;738032;7064943
09-11;21:35:31.648;2249;1575268;5603443
09-11;21:35:32.021;253;375330;5603443
09-11;21:35:33.053;1034;1353736;10473779
09-11;21:35:34.207;1058;1297931;9814223
09-11;21:35:34.597;296;394965;9814223
09-11;21:35:35.611;1014;1322787;10436189
09-11;21:35:54.423;838;1538136;14683875
09-11;21:35:54.896;355;266742;14683875
