@RELATION VideoQuality


@ATTRIBUTE cqi REAL
@ATTRIBUTE mcsDown REAL
@ATTRIBUTE brateDown REAL
@ATTRIBUTE blerDown REAL
@ATTRIBUTE snr REAL
@ATTRIBUTE phr REAL
@ATTRIBUTE mcsUp REAL
@ATTRIBUTE brateUp REAL
@ATTRIBUTE blerUp REAL

@ATTRIBUTE class {768,1024,1280,1920}


@DATA
12.1,23.4,626000.0,2.4,3.17,31.3,0.0,151,15,1280
13.3,21.0,792000.0,3.0,3.58,29.4,0.0,219,11,1280
10.6,22.5,446000.0,0,3.48,31.5,1.14,110,21,1024
13.4,19.8,889,1.6,2.34,29.7,0.0,92.7,35,1024
12.0,18.7,216000.0,0,2.89,31.8,0.0,61.2,25,1024
12.4,22.0,155000.0,0,2.26,30.1,0.0,55.3,47,1024
11.3,19.7,501999.0,0,3.08,30.2,0.0,134,11,1024
10.9,23.7,698000.0,1.8,3.02,30.2,0.0,183,23,1024
9.48,17.2,184000.0,4.9,2.69,30.3,0.0,82.6,27,1024
10.8,12.7,153000.0,1.4,3.52,31.2,0.0,94.1,31,1024
7.21,5.82,188,2.9,1.88,31.2,0.0,12.6,69,1024
11.7,12.9,878,3.7,3.43,31.2,0.0,35.8,37,1024
8.86,9.87,152000.0,4.1,3.18,30.0,1.01,53.8,36,1024
11.9,14.6,105000.0,2.4,3.47,30.1,1.71,55.0,33,1024
10.6,13.7,405999.0,2.1,5.19,30.6,1.64,120,19,1280
5.87,13.0,279000.0,1.5,5.18,30.1,0.0,109,15,1280
7.50,20.1,372000.0,5.5,3.83,29.2,0.0,123,18,1280
13.2,23.6,744000.0,0,4.14,29.8,0.0,185,12,1280
9.55,19.7,746000.0,3.4,5.07,29.4,1.06,213,11,1024
10.1,17.7,449000.0,4.5,4.78,29.2,0.0,136,18,1024
13.0,22.9,815000.0,0,4.89,28.1,0.0,193,9.7,1024
5.00,17.6,302000.0,0,5.92,30.5,1.57,93.5,11,1024
3.83,17.1,243000.0,0,5.45,27.0,1.03,72.3,12,1280
14.4,24.3,910000.0,0,5.36,27.6,0.0,264,8.8,1280
7.59,25.4,673000.0,2.6,5.83,29.4,1.95,169,10,1280
8.86,21.5,428000.0,1.5,4.30,29.8,0.0,154,18,1280
9.55,9.69,227000.0,2.5,5.55,30.0,1.92,131,15,1280
10.00,12.0,112999.09,9.2,3.86,29.6,2.28,39.1,35,1280
10.4,13.3,653,0,2.46,27.0,0.0,34.5,45,1280
11.7,13.3,566,9.6,2.87,27.0,1.26,32.8,48,1280
8.75,7.45,724,1.0,5.60,30.9,3.43,36.6,30,768
8.75,11.0,568,3.3,3.31,29.6,0.0,35.2,27,768
10.00,9.32,860,1.1,2.71,27.3,0.0,31.4,36,768
8.40,5.59,166000.0,2.3,5.55,29.2,3.25,71.2,25,768
9.00,9.50,113999.09,0,5.48,28.8,2.00,75.4,13,768
8.40,10.3,311000.0,0,5.72,28.9,1.90,110,19,768
8.48,11.8,850,1.3,3.28,29.4,0.0,40.5,41,768
9.00,18.0,686,2.1,3.37,27.2,0.0,39.2,26,768
10.00,14.4,273000.0,0,4.64,30.1,0.0,105,9.8,768
11.9,20.2,357000.0,6.7,3.21,29.0,0.0,127,25,768
12.0,10.9,107000.0,0,2.44,27.0,0.0,24.1,45,768
