10:25:14,1280
10:25:18,1024
10:25:22,768
10:25:26,1280
10:25:34,1024
10:25:46,768
10:25:50,1024
10:26:06,1280
10:26:38,1024
10:26:50,1280
10:27:38,1024
10:27:42,1280
10:28:06,1920
10:28:18,1280
10:28:22,1920
10:28:26,1280
10:28:30,1024
10:28:34,1280
10:29:30,1920
10:29:38,1280
10:29:54,1920
10:30:02,1280
10:30:18,1920
10:30:34,1280
10:30:38,1920
10:31:02,1024
10:31:06,768
10:31:10,1024
10:31:14,1280
10:31:18,1024
10:31:26,1280
10:31:42,1920
10:31:46,1280
10:32:02,1024
10:32:06,1280
10:32:22,1920
10:32:26,1280
10:32:38,768
10:32:42,1024
10:32:50,768
10:32:58,1024
10:33:06,1280
10:33:14,640
10:33:22,1280
10:33:46,1024
10:33:54,768
10:34:14,1024
10:35:02,1280
10:35:06,640
10:35:14,1024
10:35:18,1280
