Bandwith;26;1831;-1;
Bandwith;117;30;-1;
Qualidade Video;640
Bandwith;459;293294;-1;
Bandwith;1;4863;-1;
Bandwith;502;289390;5111877;
Bandwith;499;362748;5111877;
Bandwith;188;112164;5111877;
Bandwith;143;1069;5111877;
Bandwith;1779;898131;4611792;
Bandwith;279;160499;4602121;
Bandwith;1742;848603;4038812;
Bandwith;3200;1575268;3938170;
Bandwith;599;282402;3938170;
Qualidade Video;1280
Bandwith;4876;1446664;2373525;
Bandwith;148;1069;2373525;
Bandwith;2669;663097;2373525;
Bandwith;590;487895;2373525;
Bandwith;864;450848;4174518;
Bandwith;1648;1538136;7466679;
Bandwith;337;286338;7466679;
Bandwith;855;596847;6797341;
Qualidade Video;854
Qualidade Video;1280
Bandwith;15449;779648;5584533;
Bandwith;46;1831;-1;
Bandwith;23;30;-1;
Qualidade Video;640
Bandwith;444;246092;-1;
Bandwith;116;52065;-1;
Bandwith;216;289390;4434090;
Bandwith;261;223356;6846160;
Bandwith;447;251556;6846160;
Bandwith;152;1069;6846160;
Bandwith;1329;898131;5406356;
Bandwith;739;303454;4502120;
Bandwith;1663;705648;3394578;
Bandwith;2952;1575268;4269018;
Bandwith;546;300706;4269018;
Bandwith;1242;1428360;9200386;
Bandwith;874;1297931;11880375;
Bandwith;383;418261;11880375;
Bandwith;719;1299491;14458870;
Qualidade Video;1280
Bandwith;2170;1538136;5670547;
Bandwith;254;361078;5670547;
Bandwith;503;522107;8303888;
Bandwith;1297;1286550;7935543;
Bandwith;345;357781;7935543;
Bandwith;955;1156814;9690588;
Bandwith;510;1367757;21455012;
Bandwith;407;304933;21455012;
Bandwith;942;1372700;11657749;
Bandwith;1824;1212436;5317701;
Bandwith;411;573665;5317701;
Bandwith;556;896618;11166228;
Bandwith;1961;1584934;6465819;
Bandwith;445;334459;6465819;
Bandwith;1254;1395912;8905339;
Bandwith;1474;1537806;8346301;
Bandwith;179;158938;8346301;
Bandwith;614;1547212;20159114;
Bandwith;611;1500247;19643168;
Bandwith;234;345480;19643168;
Bandwith;444;1430966;25783172;
Bandwith;1196;1407994;9418020;
Bandwith;247;401677;9418020;
Bandwith;93;339735;13009781;
Bandwith;170;158974;13009781;
Bandwith;241;177244;13009781;
Bandwith;261;26921;13009781;
Bandwith;34;1831;-1;
Bandwith;112;30;-1;
Bandwith;415;160204;-1;
Bandwith;127;137953;-1;
Qualidade Video;640
Bandwith;488;289390;4744098;
Bandwith;239;472055;8689952;
Bandwith;0;2857;8689952;
Bandwith;150;1069;8689952;
Bandwith;450;898131;15801004;
Bandwith;163;211934;15801004;
Bandwith;371;797168;15966773;
Bandwith;1297;1575268;9716379;
Bandwith;299;779426;9716379;
Bandwith;287;949640;20854208;
Bandwith;624;1297931;16640141;
Qualidade Video;1280
Bandwith;353;217557;16640141;
Bandwith;2354;1500195;5098368;
Bandwith;938;1538136;13118430;
Bandwith;466;158709;13118430;
Bandwith;469;724476;12357799;
Bandwith;870;1286550;11830344;
Bandwith;291;282316;11830344;
Bandwith;485;1232279;20326252;
Bandwith;800;1367757;13677570;
Bandwith;143;186661;13677570;
Bandwith;538;1490972;22170588;
Bandwith;1176;1212436;8247863;
Bandwith;313;180833;8247863;
Bandwith;579;1289450;17816234;
Bandwith;637;1584934;19904980;
Bandwith;425;575227;19904980;
Bandwith;362;1155144;25528044;
Bandwith;572;1537806;21507776;
Bandwith;201;281050;21507776;
Bandwith;463;1425100;24623758;
Bandwith;644;1500247;18636608;
Bandwith;242;245512;18636608;
Bandwith;1826;1530934;6707268;
Bandwith;608;1407994;18526236;
Bandwith;524;517886;18526236;
Bandwith;222;223526;8054990;
Bandwith;262;239230;7906656;
Bandwith;137;96988;7906656;
Bandwith;76;26921;7906656;
Bandwith;70;1831;-1;
Bandwith;78;30;-1;
Bandwith;170;161197;-1;
Qualidade Video;640
Bandwith;379;136960;-1;
Bandwith;278;81926;-1;
Bandwith;49;705;1000000;
Bandwith;9;633;1000000;
Qualidade Video;320
Bandwith;1700;109458;1000000;
Bandwith;1077;85512;515096;
Bandwith;20;705;515096;
Bandwith;22;33409;635186;
Bandwith;609;119747;635186;
Bandwith;61;33405;1573031;
Bandwith;169;99133;1573031;
Bandwith;43;33379;1573031;
Bandwith;284;97299;2740816;
Bandwith;4;705;2740816;
Bandwith;81;83782;4380983;
Bandwith;1753;714528;3260823;
Bandwith;101;85007;3260823;
Bandwith;1352;537408;3260823;
Bandwith;150;33307;3260823;
Qualidade Video;768
Bandwith;9027;347603;3179928;
Bandwith;8005;15787;3179928;
Bandwith;37;705;1000000;
Qualidade Video;320
Bandwith;719;133467;1000000;
Bandwith;197;33632;1000000;
Bandwith;40;28504;1000000;
Bandwith;226;109090;1000000;
Bandwith;541;158808;1000000;
Bandwith;198;84346;2348362;
Bandwith;257;146496;3407919;
Bandwith;4;705;3407919;
Bandwith;129;33379;3407919;
Bandwith;2122;738226;2783132;
Bandwith;142;67398;2783132;
Bandwith;1604;730912;3645446;
