Com 1 celular                                                                           Com 2 celul                         
time				Enlapse  Enlapse    Bytes         Bitrate bits/Bitrate Mb/                      Enlapse ms  Bytes      Bitrate bits/Bitrate Mb/
09-07 01:00:02.34399        1045866      20969744      2,621218                         158        345569     14651794       1,83147425
09-07 01:00:03.09612        1584934      20718092      2,5897615                        325        1124714    27685268        3,4606585
09-07 01:00:03.46239        242939       20718092      2,5897615                        1657       1584934    7652065       0,956508125
09-07 01:00:04.521068       1487432      11141812      1,3927265                        230        399227     7652065       0,956508125
09-07 01:00:20.68523        1537806      23522844      2,9403555                        373        1331144    28550004        3,5687505
09-07 01:00:21.10287        216282       23522844      2,9403555                        1639       1537806    7506069       0,938258625
09-07 01:00:22.701602       1489868      7440039       0,930004875                      418        861146     7506069       0,938258625
09-07 01:00:25.112289       1500247      5243327       0,655415875                      264        845004     16481263      2,060157875
09-07 01:00:25.43215        338440       5243327       0,655415875                      1146       1500247    10472928         1,309116
09-07 01:00:25.85425        1438006      27068348      3,3835435                        231        355336     10472928         1,309116
09-07 01:00:44.202660       1407994      4234568       0,529321                         417        1421110    27263500        3,4079375
09-07 01:00:44.50207        341886       4234568       0,529321                         1351       1407994    8337492         1,0421865
09-07 01:00:44.63131        399526       13212985      1,651623125                      470        294014     8337492         1,0421865
09-07 01:00:44.94189        187134       13212985      1,651623125                      648        447398     5523432          0,690429
09-07 01:00:45.0282         149084       14544780      1,8180975                        135        195582     5523432          0,690429
09-07 01:00:45.2485         26921        14544780      1,8180975                        53         140636     5523432          0,690429
