22:33:2046  15.0,            26.6,          2630000.0,          0      ,           18.1,           25.7,            13.2,          494   ,          0          ,          1280       
22:33:2146  15.0,            26.9,          2770000.0,          0      ,           17.5,           25.3,            12.9,          510   ,          0          ,          1280       
22:33:2246  15.0,            25.5,          784000.0 ,          0      ,           16.9,           23.8,            12.8,          195   ,          0          ,          1280       
22:33:2346  15.0,            25.9,          1050000.0,          0      ,           17.4,           22.7,            13.3,          210   ,          0          ,          1280       
22:33:2446  15.0,            26.2,          1050000.0,          0      ,           17.8,           23.5,            13.5,          218   ,          0          ,          1920       
22:33:2546  15.0,            26.0,          1019999.0,          0      ,           16.5,           23.3,            12.8,          453   ,          0          ,          1920       
22:33:2646  15.0,            25.9,          1060000.0,          0      ,           17.8,           23.4,            13.3,          223   ,          0          ,          1920       
22:33:2746  15.0,            26.9,          2310000.0,          0      ,           16.0,           25.4,            11.6,          641   ,          0          ,          1920       
22:33:2846  15.0,            26.8,          1889999.0,          0      ,           15.5,           25.2,            11.1,          356   ,          0          ,          1920       
22:33:2946  15.0,            25.1,          703000.0 ,          0      ,           13.8,           23.8,            9.52,          250   ,          0          ,          1920       
22:33:3046  15.0,            25.2,          270000.0 ,          0      ,           14.7,           23.2,            10.6,          145   ,          0          ,          1920       
22:33:3146  15.0,            26.7,          2340000.0,          0      ,           17.3,           24.9,            12.6,          452   ,          0          ,          1920       
22:33:3246  15.0,            26.9,          2740000.0,          0      ,           17.7,           26.1,            12.5,          478   ,          0          ,          1920       
22:33:3346  15.0,            25.5,          640000.0 ,          0      ,           15.1,           24.5,            10.2,          165   ,          0          ,          1920       
22:33:3446  15.0,            25.4,          968000.0 ,          0      ,           16.0,           25.2,            10.8,          216   ,          0          ,          1920       
22:33:3546  13.8,            24.6,          1450000.0,          0      ,           21.4,           24.0,            13.7,          376   ,          0          ,          1920       
22:33:3646  14.4,            24.8,          1230000.0,            8.0% ,           17.1,           23.2,            11.7,          287   ,          0          ,          1920       
22:33:3746  14.4,            25.9,          2320000.0,            6.4% ,           18.9,           22.9,            12.2,          417   ,          0          ,          1920       
22:33:3846  14.7,            26.5,          1800000.0,            4.1% ,           17.6,           25.6,            12.0,          321   ,          0          ,          1920       
22:33:3946  14.9,            26.5,          2070000.0,            6.3% ,           18.4,           27.2,            13.7,          377   ,          0          ,          1920       
22:33:4046  14.6,            25.8,          1560000.0,            3.5% ,           19.1,           25.4,            14.2,          285   ,          0          ,          1920       
22:33:4146  14.8,            26.3,          1760000.0,          0      ,           18.0,           26.6,            12.9,          362   ,          0          ,          1920       
22:33:4246  14.2,            26.6,          1639999.0,            5.2% ,           18.4,           25.0,            12.7,          240   ,          0          ,          1920       
22:33:4346  15.0,            26.7,          2640000.0,          0      ,           18.9,           25.3,            13.9,          478   ,          0          ,          1920       
22:33:4446  15.0,            26.8,          1689999.0,            4.0% ,           18.4,           26.0,            13.2,          289   ,          0          ,          1920       
22:33:4546  14.9,            25.7,          833000.0 ,            3.5% ,           19.6,           24.5,            13.6,          176   ,          0          ,          1920       
22:33:4646  15.0,            25.7,          819999.0 ,            1.1% ,           20.3,           23.2,            14.5,          164   ,          0          ,          1920       
22:33:4746  15.0,            25.3,          855000.0 ,          0      ,           19.6,           23.6,            14.2,          225   ,          0          ,          1920       
22:33:4846  15.0,            25.7,          1060000.0,          0      ,           20.4,           24.6,            14.6,          210   ,          0          ,          1920       
22:33:4946  15.0,            26.0,          1140000.0,          0      ,           20.5,           22.9,            14.5,          224   ,          0          ,          1920       
22:33:5046  15.0,            25.5,          787000.0 ,          0      ,           20.1,           24.5,            14.3,          176   ,          0          ,          1920       
22:33:5146  15.0,            26.4,          2210000.0,          0      ,           20.7,           24.1,            14.2,          398   ,          0          ,          1920       
22:33:5246  15.0,            26.5,          1810000.0,          0      ,           20.6,           24.0,            14.5,          356   ,          0          ,          1280       
22:33:5346  15.0,            25.7,          1260000.0,          0      ,           20.3,           23.1,            14.3,          266   ,          0          ,          1280       
22:33:5446  15.0,            26.1,          1880000.0,          0      ,           20.6,           23.0,            14.8,          375   ,          0          ,          1280       
22:33:5546  15.0,            25.3,          568000.0 ,          0      ,           20.7,           23.0,            14.6,          213   ,          0          ,          1280       
22:33:5646  15.0,            25.7,          693000.0 ,          0      ,           20.9,           23.0,            14.5,          205   ,          0          ,          1280       
22:33:5746  15.0,            25.7,          1310000.0,          0      ,           20.7,           23.0,            14.4,          304   ,          0          ,          1280       
22:33:5846  15.0,            26.0,          1340000.0,          0      ,           20.8,           23.0,            14.8,          258   ,          0          ,          1280       
22:33:5946  15.0,             0.0,          0.0      ,          0      ,           0.0 ,           0.0 ,            0.0 ,           0.0  ,          0          ,          1280       
22:34:0046  15.0,             0.0,          0.0      ,          0      ,           0.0 ,           0.0 ,            0.0 ,           0.0  ,          0          ,          1920       
22:34:0146  15.0,             0.0,          0.0      ,          0      ,           0.0 ,           0.0 ,            0.0 ,           0.0  ,          0          ,          1920       
22:34:0246  15.0,            6.00,          968      ,          0      ,           19.8,           23.0,            15.0,           8.53 ,          0          ,          1920       
22:34:0346  15.0,            26.0,          1380000.0,          0      ,           20.6,           22.9,            14.7,          262   ,          0          ,          1920       
22:34:0446  15.0,            25.9,          802999.0 ,          0      ,           20.2,           23.9,            13.9,          166   ,          0          ,          1920       
22:34:0546  15.0,            26.6,          2280000.0,          0      ,           20.3,           23.6,            14.6,          390   ,          0          ,          1920       
22:34:0646  15.0,            26.4,          581000.0 ,          0      ,           20.0,           23.0,            14.1,          114   ,          0          ,          1920       
22:34:0746  15.0,             0.0,          0.0      ,          0      ,           0.0 ,           0.0 ,            0.0 ,           0.0  ,          0          ,          1920       
22:34:0846  15.0,             0.0,          0.0      ,          0      ,           0.0 ,           0.0 ,            0.0 ,           0.0  ,          0          ,          1920       
22:34:0946  15.0,             0.0,          0.0      ,          0      ,           0.0 ,           0.0 ,            0.0 ,           0.0  ,          0          ,          1920       
22:34:1046  15.0,            8.00,          960      ,          0      ,           20.0,           23.0,            15.0,           8.53 ,          0          ,          1920       
22:34:1146  15.0,            25.8,          875000.0 ,          0      ,           20.6,           23.0,            14.6,          177   ,          0          ,          1920       
22:34:1246  15.0,            26.4,          2180000.0,          0      ,           20.5,           23.0,            14.5,          388   ,          0          ,          1920       
22:34:1346  15.0,            26.2,          1000000.0,          0      ,           20.4,           23.3,            14.3,          199   ,          0          ,          1920       
22:34:1446  15.0,            26.7,          2420000.0,          0      ,           20.2,           23.6,            14.2,          423   ,          0          ,          1920       
22:34:1546  15.0,            26.7,          819999.0 ,          0      ,           20.3,           23.0,            14.6,          139   ,          0          ,          1920       
22:34:1646  15.0,             0.0,          0.0      ,          0      ,           0.0 ,           0.0 ,            0.0 ,           0.0  ,          0          ,          1280       
22:34:1746  15.0,             0.0,          0.0      ,          0      ,           0.0 ,           0.0 ,            0.0 ,           0.0  ,          0          ,          1280       
22:34:1846  15.0,            8.00,          960      ,          0      ,           20.6,           23.0,            15.0,           8.53 ,          0          ,          1280       
22:34:1946  15.0,            26.4,          1530000.0,          0      ,           20.1,           23.8,            14.1,          272   ,          0          ,          1280       
22:34:2046  15.0,            26.6,          1689999.0,          0      ,           20.2,           23.0,            14.6,          296   ,          0          ,          1920       
22:34:2146  15.0,             0.0,          0.0      ,          0      ,           0.0 ,           0.0 ,            0.0 ,           0.0  ,          0          ,          1920       
22:34:2246  15.0,            8.00,          960      ,          0      ,           20.0,           23.0,            15.0,           8.53 ,          0          ,          1920       
22:34:2346  15.0,            26.5,          1739999.0,          0      ,           20.2,           23.5,            14.3,          292   ,          0          ,          1920       
22:34:2446  15.0,            26.8,          1420000.0,          0      ,           20.3,           23.0,            14.4,          250   ,          0          ,          1920       
22:34:2546  15.0,             0.0,          0.0      ,          0      ,           0.0 ,           0.0 ,            0.0 ,           0.0  ,          0          ,          1920       
22:34:2646  15.0,            6.00,          968      ,          0      ,           20.7,           23.0,            15.0,           8.53 ,          0          ,          1920       
22:34:2746  15.0,            25.1,          263000.0 ,          0      ,           20.4,           23.7,            14.6,           62.5 ,          0          ,          1920       
22:34:2846  15.0,            26.5,          2310000.0,          0      ,           20.3,           23.6,            14.3,          380   ,          0          ,          1920       
22:34:2946  15.0,            26.4,          1090000.0,          0      ,           20.3,           23.0,            14.1,          197   ,          0          ,          1920       
22:34:3046  15.0,            26.7,          2440000.0,          0      ,           20.2,           23.2,            14.5,          446   ,          0          ,          1920       
22:34:3146  15.0,            26.8,          910000.0 ,          0      ,           19.7,           23.6,            14.2,          163   ,          0          ,          1920       
22:34:3246  15.0,             0.0,          0.0      ,          0      ,           0.0 ,           0.0 ,            0.0 ,           0.0  ,          0          ,          1920       
22:34:3346  15.0,             0.0,          0.0      ,          0      ,           0.0 ,           0.0 ,            0.0 ,           0.0  ,          0          ,          1920       
22:34:3446  15.0,            6.00,          968      ,          0      ,           21.1,           23.0,            15.0,           8.53 ,          0          ,          1920       
22:34:3546  15.0,            26.2,          1190000.0,          0      ,           20.2,           23.0,            14.2,          228   ,          0          ,          1920       
22:34:3646  15.0,            26.7,          2410000.0,          0      ,           20.1,           23.0,            14.5,          437   ,          0          ,          1920       
22:34:3746  15.0,             0.0,          56.0     ,          0      ,           21.1,           23.0,            15.0,           4.26 ,          0          ,          1920       
22:34:3846  15.0,            6.00,          968      ,          0      ,           20.9,           23.0,            15.0,           8.53 ,          0          ,          1920       
22:34:3946  15.0,            26.4,          1450000.0,          0      ,           20.1,           24.0,            14.4,          249   ,          0          ,          1920       
22:34:4046  15.0,            26.8,          2039999.0,          0      ,           20.2,           23.0,            14.4,          362   ,          0          ,          1920       
22:34:4146  15.0,             0.0,          0.0      ,          0      ,           0.0 ,           0.0 ,            0.0 ,           0.0  ,          0          ,          1920       
22:34:4246  15.0,            8.00,          960      ,          0      ,           20.7,           23.0,            15.0,           8.53 ,          0          ,          1920       
22:34:4346  15.0,            26.4,          1350000.0,          0      ,           20.0,           23.6,            14.4,          258   ,          0          ,          1920       
22:34:4446  15.0,            26.7,          1720000.0,          0      ,           20.2,           23.0,            14.3,          334   ,          0          ,          1920       
22:34:4546  15.0,             0.0,          0.0      ,          0      ,           0.0 ,           0.0 ,            0.0 ,           0.0  ,          0          ,          1920       
22:34:4646  15.0,            8.00,          960      ,          0      ,           20.9,           23.0,            15.0,           8.53 ,          0          ,          1920       
22:34:4746  15.0,            26.5,          1410000.0,          0      ,           20.3,           23.0,            14.6,          248   ,          0          ,          1920       
22:34:4846  15.0,            26.8,          1610000.0,          0      ,           20.3,           23.0,            14.4,          298   ,          0          ,          1920       
