cqi              mcs              brateDown           bler                snr                   phr                   mcs             brateU           bler                                                                         bsr        
 15.0 ,            27.0,          825000.0 ,          0        ,           5.50      ,           36.7      ,          1.54 ,          450   ,            3.1      ,          320                              22:07:4549 320        1.64       ,          
 15.0 ,            26.3,          478000.0 ,          0        ,           3.47      ,           34.9      ,          0.0  ,          242   ,            2.7      ,          320                              22:07:4646 320        543        ,          
 15.0 ,            26.3,          239000.0 ,          18       ,           2.11      ,           37.5      ,          0.0  ,          81.4  ,          28         ,          320                              22:07:4647 320        0.0        ,          
 13.9 ,            23.8,          808000.0 ,          1.9      ,           3.85      ,           37.4      ,          0.0  ,          316   ,            8.2      ,          320                              22:07:4648 320        376        ,          
 15.0 ,            26.7,          1160000.0,          0        ,           5.06      ,           36.2      ,          0.0  ,          435   ,            1.6      ,          320                              22:07:4649 320        664        ,          
 15.0 ,            27.0,          617000.0 ,          4.2      ,           2.38      ,           37.3      ,          0.0  ,          224   ,          16         ,          320                              22:07:4746 320        0.0        ,          
 13.9 ,            23.1,          275000.0 ,          23       ,           1.27      ,           37.0      ,          0.0  ,          99.4  ,          65         ,          320                              22:07:4747 320        0.0        ,          
 15.0 ,            26.7,          974000.0 ,          2.2      ,           3.80      ,           37.6      ,          0.0  ,          325   ,            8.3      ,          320                              22:07:4748 320        273        ,          
 15.0 ,            27.0,          1030000.0,          0        ,           5.76      ,           37.1      ,          1.22 ,          431   ,            1.5      ,          320                              22:07:4749 320        495        ,          
 15.0 ,            21.6,          320      ,          0        ,           1.42      ,           31.1      ,          0.0  ,          95.6  ,          52         ,          320                              22:07:4846 320        149        ,          
 15.0 ,            26.4,          736000.0 ,          7.7      ,           2.59      ,           34.6      ,          0.0  ,          206   ,          23         ,          320                              22:07:4847 320        210        ,          
 14.4 ,            25.0,          1130000.0,          0        ,           4.95      ,           37.6      ,          0.0  ,          279   ,            1.6      ,          320                              22:07:4848 320        0.0        ,          
 15.0 ,            26.8,          1010000.0,          0        ,           6.30      ,           35.8      ,          1.67 ,          249   ,            1.4      ,          320                              22:07:4849 320        0.0        ,          
 14.4 ,            21.6,          131000.0 ,          4.6      ,           1.97      ,           34.3      ,          0.0  ,          66.1  ,          37         ,          1280                             22:07:4946 1280       0.0        ,          
 14.3 ,            24.6,          589000.0 ,          9.1      ,           2.43      ,           35.3      ,          0.0  ,          151   ,          32         ,          320                              22:07:4947 320        0.0        ,          
 14.0 ,            24.8,          1220000.0,          0        ,           4.93      ,           38.1      ,          0.0  ,          293   ,            2.8      ,          320                              22:07:4948 320        1.32       ,          
 15.0 ,            26.7,          805000.0 ,          0        ,           5.97      ,           35.4      ,          1.27 ,          283   ,            1.4      ,          320                              22:07:4949 320        0.0        ,          
 15.0 ,            25.8,          209000.0 ,          8.1      ,           1.94      ,           32.6      ,          0.0  ,          112   ,          48         ,          1280                             22:07:5046 1280       0.0        ,          
 15.0 ,            26.5,          328000.0 ,          12       ,           2.48      ,           34.9      ,          0.0  ,          109   ,          40         ,          320                              22:07:5047 320        0.0        ,          
 12.2 ,            21.2,          839000.0 ,          0        ,           5.12      ,           37.5      ,          0.0  ,          240   ,            2.3      ,          320                              22:07:5048 320        0.0        ,          
 15.0 ,            26.7,          998000.0 ,          0        ,           6.75      ,           36.4      ,          1.88 ,          278   ,          0          ,          320                              22:07:5049 320        0.0        ,          
 15.0 ,            26.4,          422000.0 ,          0        ,           1.98      ,           32.1      ,          0.0  ,          147   ,          35         ,          1280                             22:07:5146 1280       0.0        ,          
 15.0 ,            26.7,          369000.0 ,          13       ,           1.97      ,           34.8      ,          0.0  ,          95.7  ,          40         ,          320                              22:07:5147 320        0.0        ,          
 13.2 ,            20.9,          834000.0 ,          2.3      ,           4.14      ,           38.2      ,          0.0  ,          222   ,            7.4      ,          320                              22:07:5148 320        0.0        ,          
 15.0 ,            27.0,          1140000.0,          0        ,           6.10      ,           35.8      ,          1.41 ,          256   ,          0          ,          320                              22:07:5149 320        0.0        ,          
 15.0 ,            26.5,          662000.0 ,          0        ,           2.29      ,           31.8      ,          0.0  ,          225   ,            5.2      ,          320                              22:07:5246 320        0.0        ,          
