05:24:3046  14.4,            25.9,          1660000.0,          0    ,           11.7,           30.9,            7.13,          568  ,            2.4,          1920 
05:24:3146  15.0,            25.7,          2320000.0,          0    ,           14.6,           34.7,            9.42,          440  ,          0    ,          1920 
05:24:3246  15.0,            26.2,          1350000.0,          0    ,           16.4,           33.9,            11.4,          306  ,          0    ,          1920 
05:24:3346  14.4,            25.4,          2330000.0,          0    ,           14.8,           34.1,            9.71,          424  ,          0    ,          1920 
05:24:3446  15.0,            26.5,          2140000.0,          0    ,           14.0,           33.8,            9.05,          438  ,          0    ,          1920 
05:24:3546  15.0,            26.5,          2060000.0,          0    ,           15.0,           33.8,            9.91,          430  ,          0    ,          1920 
05:24:3646  15.0,            26.5,          2220000.0,          0    ,           15.0,           33.6,            10.3,          398  ,          0    ,          1920 
05:24:3746  15.0,            26.7,          1689999.0,          0    ,           14.2,           34.8,            9.75,          340  ,          0    ,          1920 
05:24:3846  15.0,            25.5,          941000.0 ,          0    ,           18.9,           34.9,            13.1,          218  ,          0    ,          1920 
05:24:3946  15.0,            25.9,          902000.0 ,          0    ,           16.5,           34.0,            11.6,          155  ,          0    ,          1920 
05:24:4046  15.0,            25.7,          819999.0 ,          0    ,           17.1,           33.5,            11.8,          160  ,          0    ,          1920 
05:24:4146  15.0,            26.1,          756000.0 ,          0    ,           16.9,           35.5,            11.4,          140  ,          0    ,          1920 
05:24:4246  15.0,            25.4,          673000.0 ,          0    ,           17.9,           33.5,            12.5,          172  ,          0    ,          1920 
05:24:4346  15.0,            26.1,          1550000.0,          0    ,           16.2,           33.9,            10.8,          289  ,          0    ,          1920 
05:24:4446  15.0,            26.9,          2850000.0,          0    ,           12.1,           34.8,            7.19,          571  ,          0    ,          1920 
05:24:4546  15.0,            26.1,          1820000.0,          0    ,           6.28,           29.0,            1.37,          473  ,          0    ,          1920 
05:24:4646  15.0,            26.5,          2250000.0,          0    ,           6.58,           28.7,            1.37,          483  ,          0    ,          1920 
05:24:4746  15.0,            26.7,          2560000.0,          0    ,           7.49,           26.9,            2.03,          549  ,          0    ,          1920 
05:24:4846  15.0,            26.2,          1090000.0,          0    ,           8.64,           29.6,            2.94,          286  ,          0    ,          1920 
05:24:4946  15.0,            25.8,          1050000.0,          0    ,           8.74,           31.5,            2.96,          286  ,          0    ,          1920 
05:24:5046  15.0,            25.9,          965000.0 ,          0    ,           11.2,           28.8,            6.04,          217  ,          0    ,          1920 
05:24:5146  15.0,            25.5,          696000.0 ,          0    ,           9.51,           31.3,            4.53,          437  ,          0    ,          1920 
05:24:5246  15.0,            26.6,          1810000.0,          0    ,           7.79,           29.6,            2.19,          633  ,          0    ,          1920 
05:24:5346  15.0,            26.2,          1970000.0,          0    ,           8.01,           29.3,            2.86,          458  ,          0    ,          1920 
05:24:5446  15.0,            25.7,          1340000.0,          0    ,           9.30,           28.9,            3.66,          409  ,          0    ,          1920 
05:24:5546  15.0,            26.4,          1989999.0,          0    ,           7.28,           29.3,            1.96,          659  ,          0    ,          1920 
05:24:5646  15.0,            25.8,          1170000.0,          0    ,           8.20,           29.6,            2.49,          416  ,          0    ,          1920 
05:24:5746  15.0,            26.5,          2330000.0,          0    ,           7.03,           29.7,            1.31,          561  ,          0    ,          1920 
05:24:5846  15.0,            26.2,          1639999.0,          0    ,           7.50,           29.0,            1.82,          426  ,          0    ,          1920 
05:24:5946  15.0,            25.5,          504000.0 ,          0    ,           8.72,           29.8,            3.12,          154  ,          0    ,          1920 
05:25:0046  15.0,            25.8,          1080000.0,          0    ,           8.15,           29.8,            2.76,          279  ,          0    ,          1920 
05:25:0146  15.0,            25.9,          1120000.0,          0    ,           7.42,           29.3,            2.58,          235  ,          0    ,          1920 
05:25:0246  15.0,            25.4,          547000.0 ,          0    ,           8.38,           29.6,            2.83,          166  ,          0    ,          1920 
05:25:0346  15.0,            26.2,          1650000.0,          0    ,           7.10,           30.1,            1.84,          361  ,          0    ,          1920 
05:25:0446  15.0,            26.6,          2320000.0,          0    ,           6.24,           29.2,             0.0,          490  ,          0    ,          1920 
05:25:0546  15.0,            26.7,          2450000.0,          0    ,           6.27,           29.5,             0.0,          560  ,          0    ,          1920 
05:25:0646  15.0,            26.0,          827999.0 ,          0    ,           6.08,           30.0,             0.0,          213  ,          0    ,          1920 
05:25:0746  15.0,            26.4,          1950000.0,          0    ,           6.51,           29.2,            1.15,          460  ,          0    ,          1920 
05:25:0846  15.0,            26.7,          2550000.0,          0    ,           6.11,           29.3,             0.0,          565  ,          0    ,          1920 
05:25:0946  15.0,            26.4,          1980000.0,          0    ,           7.25,           29.6,            2.27,          386  ,          0    ,          1280 
05:25:1046  15.0,            26.3,          1989999.0,          0    ,           10.9,           31.8,            6.24,          444  ,          0    ,          1280 
05:25:1146  15.0,            26.1,          1800000.0,          0    ,           11.5,           33.6,            6.84,          393  ,          0    ,          1280 
05:25:1246  15.0,            26.0,          760000.0 ,          0    ,           11.6,           33.2,            6.35,          182  ,          0    ,          1280 
05:25:1346  15.0,            26.0,          940000.0 ,          0    ,           15.1,           34.5,            10.0,          160  ,          0    ,          1920 
05:25:1446  15.0,            25.6,          1090000.0,          0    ,           17.5,           33.1,            12.2,          247  ,          0    ,          1920 
05:25:1546  15.0,            27.0,          2130000.0,          0    ,           13.2,           33.5,            8.60,          362  ,          0    ,          1920 
05:25:1646  15.0,            26.5,          1490000.0,          0    ,           14.0,           33.2,            9.58,          287  ,          0    ,          1920 
05:25:1746  15.0,            26.8,          2740000.0,          0    ,           13.0,           33.0,            8.43,          497  ,          0    ,          1920 
05:25:1846  15.0,            26.9,          2450000.0,          0    ,           13.2,           33.6,            8.58,          448  ,          0    ,          1920 
05:25:1946  15.0,            25.7,          903999.0 ,          0    ,           18.1,           32.8,            12.6,          190  ,          0    ,          1920 
05:25:2046  15.0,            25.7,          661000.0 ,          0    ,           17.0,           33.1,            12.0,          138  ,          0    ,          1920 
05:25:2146  15.0,            25.4,          584000.0 ,          0    ,           16.9,           33.2,            11.6,          155  ,          0    ,          1920 
05:25:2246  15.0,            23.2,          238000.0 ,          0    ,           20.9,           34.1,            14.5,          166  ,          0    ,          1920 
05:25:2346  15.0,            26.4,          2000000.0,          0    ,           15.5,           32.7,            10.1,          406  ,          0    ,          1920 
05:25:2446  15.0,            26.6,          2530000.0,          0    ,           13.7,           32.7,            9.43,          476  ,          0    ,          1920 
05:25:2546  15.0,            25.7,          930000.0 ,          0    ,           17.1,           34.0,            11.4,          214  ,          0    ,          1920 
05:25:2646  15.0,            26.2,          1670000.0,          0    ,           15.0,           31.3,            10.2,          540  ,          0    ,          1920 
05:25:2746  15.0,            26.6,          1590000.0,          0    ,           16.3,           33.4,            10.9,          353  ,          0    ,          1920 
05:25:2846  15.0,            26.0,          1810000.0,          0    ,           16.0,           32.9,            10.6,          379  ,          0    ,          1920 
05:25:2946  15.0,            26.5,          1739999.0,          0    ,           16.5,           33.1,            11.4,          352  ,          0    ,          1280 
05:25:3046  15.0,            25.8,          1360000.0,          0    ,           17.4,           32.9,            11.7,          323  ,          0    ,          1280 
05:25:3146  15.0,            25.2,          685000.0 ,          0    ,           18.6,           33.8,            13.3,          252  ,          0    ,          1280 
05:25:3246  15.0,            26.6,          2470000.0,          0    ,           14.0,           33.0,            9.68,          513  ,          0    ,          1280 
05:25:3346  15.0,            25.6,          1100000.0,          0    ,           18.5,           34.1,            13.0,          387  ,          0    ,          1920 
05:25:3446  15.0,            25.2,          886000.0 ,          0    ,           18.2,           33.4,            12.4,          267  ,          0    ,          1920 
05:25:3546  15.0,            25.5,          844999.0 ,          0    ,           16.4,           32.6,            11.3,          205  ,          0    ,          1920 
05:25:3646  15.0,            25.4,          706000.0 ,          0    ,           18.4,           33.5,            13.0,          174  ,          0    ,          1920 
05:25:3746  15.0,            25.4,          537000.0 ,          0    ,           17.8,           33.9,            12.1,          126  ,          0    ,          1920 
05:25:3846  15.0,            25.6,          848000.0 ,          0    ,           18.6,           34.2,            12.9,          212  ,          0    ,          1920 
05:25:3946  15.0,            26.8,          2260000.0,          0    ,           13.4,           31.9,            9.52,          429  ,          0    ,          1920 
05:25:4046  15.0,            26.5,          2270000.0,          0    ,           14.7,           32.4,            9.97,          473  ,          0    ,          1920 
05:25:4146  15.0,            26.1,          1440000.0,          0    ,           16.1,           33.9,            11.3,          317  ,          0    ,          1920 
05:25:4246  15.0,            26.3,          1980000.0,          0    ,           14.7,           32.7,            10.0,          378  ,          0    ,          1920 
05:25:4346  15.0,            26.9,          2940000.0,          0    ,           13.0,           32.3,            8.73,          529  ,          0    ,          1920 
05:25:4446  15.0,            26.7,          1850000.0,          0    ,           13.8,           32.2,            9.26,          336  ,          0    ,          1920 
05:25:4546  15.0,            26.5,          2220000.0,          0    ,           14.0,           33.9,            9.38,          417  ,          0    ,          1280 
05:25:4646  15.0,            26.1,          1850000.0,          0    ,           15.3,           33.0,            10.4,          394  ,          0    ,          1280 
05:25:4746  15.0,            26.0,          1019999.0,          0    ,           15.7,           32.8,            11.0,          200  ,          0    ,          1280 
05:25:4846  15.0,            26.0,          872000.0 ,          0    ,           15.7,           32.2,            10.3,          166  ,          0    ,          1280 
05:25:4946  15.0,            25.8,          888000.0 ,          0    ,           18.3,           34.2,            12.7,          177  ,          0    ,          1920 
