@relation VideoQuality-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0

@attribute cqi numeric
@attribute mcsDown numeric
@attribute brateDown numeric
@attribute blerDown numeric
@attribute snr numeric
@attribute phr numeric
@attribute mcsUp numeric
@attribute brateUp numeric
@attribute blerUp numeric
@attribute bsr numeric
@attribute class {A,B,C,D,E,F,G}

@data
0.92,0.985185,0.172549,0.05,0.237423,0.91544,0,0.114679,0.074,0,B
1,0.996296,0.54902,0,0.613497,0.843103,0.412605,0.331422,0,0,D
0.993333,0.962963,0.110294,0.104167,0.92638,0.720878,0.807563,0.097248,0.056,0,C
0.886667,0.903704,0.519608,0.038542,0.596933,0.79571,0.412605,0.325688,0.03,0,B
0.288,0.231852,0.061765,0.0125,0.205521,0.93789,0,0.047133,0.3,0.162738,B
0.986667,0.985185,0.52451,0,0.558896,0.860564,0.428571,0.338303,0.035,0,D
1,0.996296,0.382843,0,0.699387,0.753305,0.70084,0.208716,0.13,0,C
0.245333,0.204444,0.085784,0.064583,0.387117,0.748316,0.143697,0.098509,0.018,0,B
0.92,0.97037,0.000451,0.145833,0.131288,0.947867,0,0.006204,0.71,0,B
1,1,0.705883,0,0.650307,0.858069,0.510084,0.394495,0.027,0,D
1,0.959259,0.171569,0,0.687117,0.800698,0.470588,0.125,0.016,0,C
0.8,0.833333,0.418137,0.016667,0.580982,0.745822,0.401681,0.306193,0.05,0,B
0.52,0.137407,0.000006,0,0.084663,0,0.392437,0,1,0,B
0.84,0.844444,0.622549,0,0.566871,0.863058,0.384034,0.377294,0,0,D
1,1,0.376961,0,0.815951,0.668496,0.708403,0.244266,0.02,0,C
1,1,0.313235,0,0.656442,0.758294,0.480672,0.219037,0.019,0,B
0.96,0.481481,0.000006,0,0.161963,0.89798,0,0.029014,0.32,0,B
0,0.04,0.063726,0,0.376074,0.828137,0.140336,0.051032,0.037,0,D
1,0.974074,0.159314,0,0.773006,0.703417,0.687395,0.107339,0,0,C
1,0.992593,0.647059,0,0.674847,0.793215,0.568067,0.381881,0.028,0,B
0.48,0.4,0.000228,0.027083,0,0.922923,0,0.011812,0.63,0,B
0.68,0.57037,0.306373,0.013542,0.382209,0.865553,0.166387,0.167431,0.044,0,D
1,1,0.428922,0,0.791411,0.753305,0.737815,0.262615,0.048,0,C
1,0.996296,0.292647,0,0.631902,0.783238,0.526891,0.173165,0.1,0,B
0.966667,0.837037,0.000358,0.145833,0.119018,0.972811,0,0.043463,0.38,0,B
0,0,0.000301,0.059375,0.404908,0.848092,0.155462,0.055734,0.037,0,D
1,0.977778,0.254902,0,0.742331,0.728361,0.687395,0.18578,0.094,0,C
1,0.988889,0.270098,0.014583,0.680982,0.735844,0.568908,0.199541,0.048,0,B
0.72,0.362593,0.058824,0.21875,0.190184,0.927912,0,0.099312,0.17,0,B
0.338667,0.270741,0.178922,0,0.438037,0.873036,0.20084,0.104014,0,0,D
1,1,0.436275,0,0.797546,0.705912,0.741176,0.284404,0.07,0,C
1,0.992593,0.24902,0,0.521472,0.780743,0.442017,0.170872,0.15,0,B
0.96,0.925926,0.064216,0.114583,0.156442,0.907957,0,0.046904,0.37,0,B
0.504,0.433333,0.311765,0.010417,0.367485,0.863058,0.139496,0.204128,0.1,0,D
1,1,0.401471,0,0.779141,0.798204,0.715126,0.248853,0.063,0,C
1,1,0.3,0,0.568098,0.793215,0.408403,0.196101,0.063,0,B
1,0.966667,0.000382,0.197917,0.139877,0.985283,0,0.028211,0.39,0,B
0.330667,0.304074,0.228922,0,0.415337,0.868047,0.221849,0.182339,0.057,0,D
1,1,0.39951,0,0.785276,0.718384,0.709244,0.262615,0.089,0,C
1,0.988889,0.269608,0.022917,0.567485,0.740833,0.468067,0.175459,0.054,0,B
1,0.959259,0.182353,0.15625,0.180982,0.932901,0,0.158257,0.15,0,B
0.28,0.255185,0.17451,0,0.407975,0.860564,0.172269,0.134174,0.013,0,D
1,0.981481,0.262255,0.021875,0.748466,0.7109,0.784034,0.201835,0.11,0,C
1,0.992593,0.470098,0,0.53681,0.753305,0.347059,0.302752,0.077,0,F
0.68,0.714815,0.000326,0.073958,0.083436,0.89798,0,0.027867,0.41,0,B
0.64,0.603704,0.389216,0.027083,0.370552,0.863058,0.15042,0.330275,0.029,0,D
1,1,0.480392,0,0.822086,0.738339,0.778992,0.311927,0.067,0,C
0.92,0.903704,0.276961,0,0.504294,0.805687,0.353782,0.244266,0.026,0,F
1,0.966667,0.103922,0.125,0.138037,0.930407,0,0.054702,0.43,0,B
0.786667,0.781481,0.42402,0,0.395092,0.883013,0.157983,0.291284,0.025,0,D
1,1,0.40049,0,0.840491,0.65353,0.768908,0.274083,0.12,0,C
1,0.996296,0.290196,0,0.568712,0.750811,0.378992,0.208716,0,0,F
1,0.977778,0.000348,0.114583,0.101227,0.985283,0,0.022592,0.43,1,B
0.106667,0.091111,0.098039,0,0.411043,0.853081,0.180672,0.099541,0,0,D
1,0.996296,0.414706,0,0.846626,0.768271,0.817647,0.258028,0.12,0,C
1,0.992593,0.294608,0,0.603681,0.743328,0.398319,0.197248,0,0,F
0.96,0.940741,0.073529,0.1,0.184049,0.910451,0,0.089335,0.27,0,B
0.12,0.128519,0.107843,0.047917,0.385276,0.855575,0.135294,0.089335,0.022,0,D
1,0.911111,0.182353,0.011458,0.840491,0.803193,0.882353,0.241972,0.14,0,C
1,0.977778,0.327451,0,0.680982,0.765777,0.546218,0.345183,0.034,0,F
0.584,0.327037,0.051961,0.145833,0.227607,0.917935,0,0.093922,0.24,0,B
0.48,0.363704,0.143137,0.057292,0.417178,0.868047,0.222689,0.176606,0.055,0,D
1,0.996296,0.422059,0,0.773006,0.770766,0.691597,0.293578,0.098,0,C
1,0.996296,0.34902,0.011458,0.578528,0.758294,0.378151,0.241972,0,0,F
0.88,0.766667,0.077451,0.125,0.177914,0.970317,0,0.106307,0.19,0,B
0.312,0.134074,0.080882,0,0.363804,0.850586,0.177311,0.082683,0.064,0,D
0.96,0.966667,0.4,0.010417,0.760736,0.728361,0.695798,0.258028,0.084,0,C
1,1,0.32451,0,0.607975,0.800698,0.436134,0.22133,0.046,0.265993,F
0.946667,0.866667,0.141667,0.084375,0.180982,0.957845,0,0.108142,0.27,0.489338,B
0.2,0.102963,0.057843,0.010417,0.325153,0.850586,0.12437,0.105619,0.048,0,D
1,1,0.455883,0,0.742331,0.800698,0.644538,0.276376,0.067,0.294052,C
1,0.966667,0.134314,0,0.511656,0.760788,0.267227,0.119266,0.016,0,F
1,0.948148,0.059314,0.092708,0.184663,0.947867,0,0.05711,0.23,0,B
0.130667,0.105556,0.103922,0.04375,0.339264,0.853081,0.1,0.16055,0.052,0,D
1,0.985185,0.504902,0,0.717791,0.718384,0.663025,0.379587,0.068,0,C
0.96,0.933333,0.364216,0.019792,0.549693,0.808182,0.402521,0.262615,0.034,0,D
0.84,0.807407,0.088235,0.34375,0.164417,0.967822,0,0.067087,0.32,0,B
0.496,0.228148,0.095098,0.055208,0.361963,0.825642,0.155462,0.102867,0.075,0,D
1,0.985185,0.478432,0,0.662577,0.750811,0.534454,0.323394,0.051,0,C
0.733333,0.714815,0.403432,0.072917,0.47362,0.735844,0.284034,0.248853,0.042,0.43771,D
0.56,0.407407,0.000333,0.0625,0.149693,0.972811,0.177311,0.027523,0.44,0,B
1,0.940741,0.218137,0.034375,0.342945,0.855575,0.189916,0.193807,0.12,0,D
1,0.996296,0.593138,0,0.680982,0.770766,0.578151,0.329128,0.065,0,C
1,0.992593,0.386765,0,0.540491,0.808182,0.315126,0.268349,0.022,0,D
0.88,0.555556,0.07598,0.229167,0.133742,0.922923,0,0.052638,0.49,0,B
0.8,0.622222,0.207843,0.010417,0.357055,0.828137,0.154622,0.220183,0,0,D
1,0.988889,0.725491,0,0.736196,0.775755,0.631092,0.537844,0.061,0,C
1,0.996296,0.417647,0.015625,0.457669,0.778249,0.278151,0.268349,0.065,0.141414,D
0.84,0.803704,0.000392,0.208333,0.138037,0.910451,0,0.035321,0.53,0,B
1,0.944444,0.22451,0.019792,0.328221,0.833125,0.145378,0.155963,0.12,0,D
1,0.974074,0.354902,0.010417,0.687117,0.780743,0.604202,0.256881,0.09,0,C
1,1,0.54902,0,0.468098,0.803193,0.263025,0.331422,0.06,0.167228,D
0.56,0.437037,0.090196,0.041667,0.179755,0.89798,0,0.060321,0.21,0.001156,B
1,0.985185,0.338235,0,0.37546,0.83562,0.271429,0.237385,0.15,0,D
1,0.988889,0.475981,0.014583,0.723926,0.830631,0.701681,0.307339,0.078,0,D
0.766667,0.725926,0.306373,0.027083,0.331902,0.79571,0.086555,0.206422,0.034,0,C
0.88,0.592593,0.095098,0.21875,0.145399,0.917935,0,0.1,0.38,0,B
1,0.97037,0.367647,0.019792,0.306135,0.855575,0.087395,0.266055,0.066,0.287318,D
0.96,0.951852,0.335294,0,0.748466,0.818159,0.678151,0.286697,0.079,0,D
0.78,0.796296,0.316177,0.025,0.312883,0.763283,0,0.229358,0.031,0,C
0.88,0.444444,0.00019,0.260417,0.094479,0.89798,0,0.02844,0.49,0,B
1,0.992593,0.661765,0,0.353988,0.868047,0.147899,0.40367,0.031,0,D
1,0.97037,0.285784,0.0125,0.705521,0.815665,0.584034,0.196101,0.078,0,D
0.886667,0.881481,0.453922,0.010417,0.361963,0.793215,0.103361,0.294725,0.011,0,C
0.68,0.197407,0.000302,0.058333,0.080368,0.89798,0,0.001445,0.9,0,B
1,0.992593,0.479412,0.0125,0.342331,0.888002,0.157143,0.333716,0.064,0,D
1,0.977778,0.360784,0,0.730061,0.785732,0.647899,0.248853,0.12,0,D
0.893333,0.877778,0.385294,0.016667,0.407362,0.763283,0.17563,0.287844,0.025,0,C
0.664,0.548148,0.00014,0.25,0.100613,0,0.644538,0,1,0,B
1,0.988889,0.593138,0,0.348466,0.838114,0.163866,0.408257,0.021,0.567901,C
