@RELATION VideoQuality


@ATTRIBUTE cqi REAL
@ATTRIBUTE mcsDown REAL
@ATTRIBUTE brateDown REAL
@ATTRIBUTE blerDown REAL
@ATTRIBUTE snr REAL
@ATTRIBUTE phr REAL
@ATTRIBUTE mcsUp REAL
@ATTRIBUTE brateUp REAL
@ATTRIBUTE blerUp REAL

@ATTRIBUTE class {320,640,480,768,1024,1280,1920}


@DATA
9.00,18.0,686,2.1,3.37,27.2,0.0,39.2,26,768
10.00,14.4,273000.0,0,4.64,30.1,0.0,105,9.8,768
11.9,20.2,357000.0,6.7,3.21,29.0,0.0,127,25,768
12.0,10.9,107000.0,0,2.44,27.0,0.0,24.1,45,768
11.1,15.8,415000.0,1.6,3.94,29.5,0.0,117,15,768
10.6,12.9,114999.09,3.8,3.17,27.4,1.62,43.8,30,1024
10.6,17.1,229000.0,2.2,4.29,27.2,0.0,78.3,15,1024
8.40,17.4,399000.0,2.0,5.48,27.3,1.12,131,9.9,1024
3.91,8.80,202999.07,2.6,6.54,28.1,2.14,85.0,19,1024
10.2,18.5,527000.0,1.9,4.77,28.2,0.0,158,14,1280
3.12,11.0,195000.0,2.9,5.84,34.0,2.14,71.5,19,1280
9.13,14.7,540000.0,1.7,6.17,29.4,1.63,160,15,1280
12.6,23.0,745000.0,1.7,4.97,29.2,1.16,161,13,1280
8.48,20.8,417000.0,2.1,5.23,28.0,0.0,150,11,1280
10.4,20.2,538000.0,2.6,5.43,28.3,1.12,181,9.4,1280
3.75,3.78,252999.07,0,5.62,28.4,0.0,89.2,7.8,1280
8.92,9.16,258000.0,0,4.04,29.2,1.60,66.9,39,1280
13.7,24.1,293000.0,1.8,3.03,27.4,0.0,88.0,33,1280
10.6,19.6,248000.0,1.7,3.70,27.0,0.0,72.3,19,1280
11.2,15.5,387000.0,2.8,4.72,30.1,1.53,88.6,29,1280
6.82,16.2,222000.0,1.8,4.15,31.0,0.0,142,13,1280
10.00,10.3,107000.0,0,3.10,30.0,1.68,34.9,46,640
11.3,10.4,662,0,4.09,28.0,2.48,39.6,42,640
11.9,18.6,114999.09,0,2.96,27.3,0.0,41.0,28,640
14.3,26.1,663000.0,1.7,5.48,28.9,0.0,195,5.9,640
12.4,22.4,748000.0,1.3,5.36,30.1,1.46,201,12,640
10.2,25.2,484000.0,0,5.48,28.2,0.0,138,6.7,640
5.30,7.68,197000.0,2.1,7.66,29.0,4.29,55.6,27,640
8.48,19.7,267000.0,6.3,3.77,28.4,1.22,92.0,35,640
14.8,25.6,268000.0,3.2,2.49,27.6,0.0,68.9,33,768
12.8,16.5,283000.0,1.7,4.43,29.1,0.0,105,18,768
14.3,21.9,127000.0,1.3,3.16,29.6,0.0,66.9,28,768
11.7,13.6,452,4.1,2.91,28.1,0.0,47.2,32,768
11.9,14.4,830,3.0,2.30,28.6,0.0,39.6,47,768
11.2,17.4,876,0,2.57,30.8,0.0,24.5,49,768
5.00,13.0,164000.0,2.4,5.99,29.9,2.23,70.5,14,768
8.12,21.6,394000.0,1.1,5.67,29.1,1.11,142,7.3,768
12.1,21.1,896000.0,1.4,5.88,30.9,1.26,226,9.5,1024
9.55,24.8,551000.0,0,5.50,28.4,1.02,183,8.8,1024
5.00,8.72,122000.0,0,5.12,28.7,0.0,62.6,13,1024
10.2,10.4,185000.0,2.6,3.90,28.7,0.0,71.3,29,1024
12.4,19.3,209000.0,4.7,3.19,28.0,0.0,62.8,20,1024
11.1,15.5,436000.0,2.0,4.96,27.6,0.0,171,12,1024
