@RELATION VideoQuality


@ATTRIBUTE cqi REAL
@ATTRIBUTE mcsDown REAL
@ATTRIBUTE brateDown REAL
@ATTRIBUTE blerDown REAL
@ATTRIBUTE snr REAL
@ATTRIBUTE phr REAL
@ATTRIBUTE mcsUp REAL
@ATTRIBUTE brateUp REAL
@ATTRIBUTE blerUp REAL

@ATTRIBUTE class {320,640,480,768,1024,1280,1920}


@DATA
15.0,27.0,1120000.0,0,7.20,31.9,2.06,275,0,1280
15.0,26.6,1030000.0,0,7.15,29.2,2.28,369,0,1280
15.0,26.9,919999.0,0,7.27,30.4,2.03,273,0,1280
15.0,27.0,1050000.0,0,7.41,31.1,2.32,290,0,1024
15.0,24.8,380000.0,0,7.99,32.8,3.52,198,1.6,1024
15.0,26.8,923000.0,0,7.25,28.1,2.14,260,1.7,1024
15.0,26.7,1150000.0,0,7.21,30.9,2.28,300,1.4,1024
15.0,27.0,1200000.0,0,7.30,31.7,2.19,323,0,1024
15.0,27.0,1310000.0,0,7.16,31.9,1.93,335,0,1024
15.0,26.9,1180000.0,0,7.11,32.3,2.29,329,2.4,1024
15.0,27.0,1260000.0,0,7.07,33.0,2.22,332,0,1024
15.0,27.0,1490000.0,0,7.15,29.8,2.09,395,0,1024
15.0,27.0,1570000.0,0,7.05,30.4,2.29,366,2.0,1024
15.0,26.7,1370000.0,0,7.50,31.9,2.10,410,1.7,1024
15.0,26.9,1620000.0,0,7.78,28.9,2.52,414,0,1024
15.0,27.0,1300000.0,0,7.45,29.9,2.28,348,0,1280
15.0,26.9,1510000.0,0,7.37,29.8,2.40,386,0,1280
15.0,27.0,1310000.0,0,7.15,30.9,2.03,339,0,1280
15.0,26.6,963000.0,0,7.12,32.0,1.84,226,0,1280
15.0,26.4,890000.0,1.8,7.38,31.3,2.74,203,3.6,1280
15.0,26.3,1120000.0,0,8.03,30.9,2.94,283,1.8,1280
15.0,26.5,1010000.0,0,8.08,31.8,3.14,224,4.1,1280
15.0,26.3,736000.0,1.3,6.92,33.0,2.05,199,1.9,1280
15.0,25.8,667000.0,0,6.82,33.2,1.68,176,0,1280
15.0,26.7,753000.0,0,7.48,29.5,2.39,200,0,1280
15.0,26.7,1040000.0,0,7.16,31.9,2.22,251,0,1280
15.0,26.0,385000.0,3.6,6.89,29.7,1.70,108,0,1280
15.0,26.5,756000.0,1.1,6.60,28.6,1.48,216,1.9,1280
15.0,26.7,458000.0,0,6.65,33.3,1.90,132,2.7,1280
15.0,26.6,638000.0,0,6.63,31.8,1.61,179,2.3,1280
15.0,26.1,495000.0,0,6.63,31.7,1.70,214,0,1280
15.0,26.1,409000.0,0,7.15,32.0,2.04,128,0,1280
15.0,26.9,617000.0,0,6.75,30.5,1.73,179,0,1280
15.0,26.2,378000.0,1.4,6.82,30.1,2.01,117,1.0,1280
15.0,25.4,271000.0,1.7,6.26,30.3,1.63,122,8.9,1280
10.8,11.3,192000.0,2.5,8.53,32.9,4.53,105,13,1280
15.0,26.7,1120000.0,1.5,6.76,31.3,1.67,299,0,1280
15.0,27.0,1360000.0,0,8.66,32.6,3.72,288,0,1280
15.0,27.0,1390000.0,1.8,7.28,31.5,2.26,376,0,1280
14.8,26.4,1110000.0,2.1,4.99,28.8,0.0,250,3.6,1280
15.0,27.0,1210000.0,1.2,3.80,29.8,0.0,293,2.6,1280
15.0,26.8,819000.0,2.9,4.67,29.0,0.0,216,4.7,1280
15.0,26.9,1280000.0,0,6.78,29.8,1.58,336,0,1280
15.0,26.9,1310000.0,2.3,6.13,31.5,1.54,365,1.8,1280
15.0,26.9,1440000.0,1.0,6.20,28.4,1.19,343,0,1280
15.0,26.7,1140000.0,1.5,7.13,28.4,2.28,273,0,1280
15.0,26.9,1190000.0,0,6.98,30.8,1.92,280,0,1280
15.0,27.0,901000.0,0,6.68,30.8,1.69,242,0,1280
15.0,26.6,894000.0,1.3,7.06,29.7,2.04,232,2.2,1280
