@RELATION VideoQuality


@ATTRIBUTE cqi REAL
@ATTRIBUTE blerDown REAL
@ATTRIBUTE snr REAL
@ATTRIBUTE phr REAL
@ATTRIBUTE blerUp REAL
@ATTRIBUTE class {A,B,C,D,E,F,G}


@DATA
15.0,0,12.0,31.1,6.1,C
15.0,1.5,7.46,31.2,6.5,D
12.6,20,2.25,36.5,53,B
15.0,1.9,5.35,33.4,12,D
15.0,1.0,11.2,31.3,9.0,C
15.0,0,7.63,32.2,6.0,D
8.40,4.0,2.93,36.0,21,B
15.0,0,6.12,33.5,15,D
15.0,1.4,11.8,33.3,7.8,D
11.5,2.6,5.41,31.9,3.4,C
13.2,21,2.37,36.8,38,B
15.0,1.9,4.99,34.3,6.6,D
14.4,0,12.2,32.8,7.9,D
11.7,2.4,5.10,30.6,3.1,C
13.2,25,1.54,36.0,49,B
15.0,0,5.77,34.8,3.1,D
15.0,1.2,11.5,32.7,7.8,D
13.3,1.0,5.90,31.8,1.1,C
10.2,5.6,1.31,36.0,90,B
15.0,1.2,5.58,35.6,6.4,D
15.0,0,11.9,31.5,12,D
13.4,1.6,6.64,30.6,2.5,C
9.96,24,1.64,0.0,100,B
15.0,0,5.68,33.6,2.1,C
14.3,0,11.5,29.8,5.8,F
5.56,2.8,6.42,30.2,4.1,F
13.6,0,1.19,36.5,68,B
15.0,0,7.15,34.1,5.7,C
14.7,0,10.5,31.1,10,F
9.16,6.1,6.06,29.7,3.1,F
12.0,25,1.86,36.0,45,B
15.0,0,7.42,34.4,2.6,C
14.8,0,10.7,30.4,6.8,F
8.64,2.5,5.89,29.5,3.8,F
12.0,13,2.24,38.0,35,B
15.0,0,7.28,35.4,3.8,C
14.8,0,10.5,30.4,5.8,F
10.3,4.6,6.38,31.3,0,F
13.0,22,0.0,0.0,100,E
15.0,0,7.02,35.2,2.0,B
15.0,0,11.3,28.5,7.0,F
7.64,0,5.96,31.1,8.9,F
15.0,0,3.34,0.0,100,E
15.0,0,7.12,34.7,0,B
15.0,0,10.6,34.7,15,F
13.3,1.4,6.23,30.6,0,F
11.0,0,0.0,0.0,100,E
15.0,0,6.20,34.2,1.4,B
15.0,0,10.6,31.7,6.8,F
10.8,4.6,5.97,30.7,6.5,F
11.4,15,2.01,37.6,55,E
15.0,0,6.53,35.6,3.7,B
15.0,0,9.68,34.7,13,F
2.40,6.4,5.30,29.1,20,F
11.4,3.1,3.10,35.0,39,E
15.0,0,6.49,34.1,0,B
15.0,0,10.5,30.8,14,D
5.56,9.8,8.70,28.9,9.6,F
11.2,0,3.18,39.02,52,E
15.0,0,5.79,35.7,6.5,B
15.0,0,9.63,32.4,7.1,D
4.20,17,6.43,29.0,8.0,F
10.8,10,1.22,36.0,86,E
15.0,0,6.75,35.0,3.4,B
15.0,0,9.71,34.2,5.5,D
6.00,2.4,8.32,28.5,0,F
12.0,12,1.82,36.0,52,E
15.0,0,6.90,35.4,12,B
13.2,1.5,9.42,31.4,5.3,D
2.20,4.6,6.28,28.8,16,F
15.0,0,2.43,0.0,100,A
15.0,0,7.06,35.9,1.8,B
15.0,0,8.80,33.8,8.5,D
3.96,4.2,7.14,28.2,0,F
15.0,0,1.80,37.0,78,A
15.0,0,6.03,34.7,1.6,B
15.0,1.1,9.61,28.5,20,D
0.0,5.7,4.28,27.8,24,F
15.0,0,6.11,0.09,100,A
15.0,0,10.2,34.1,3.8,B
15.0,0,9.11,29.0,12,D
2.40,6.3,7.84,26.2,8.0,F
13.7,14,3.85,36.0,92,A
15.0,0,8.46,35.5,10,B
15.0,0,6.77,28.5,7.1,D
2.40,4.2,4.87,27.7,6.5,F
15.0,0,0.0,0.0,100,A
15.0,0,9.78,35.8,1.4,B
15.0,2.1,11.8,29.9,15,C
6.00,4.2,7.45,29.6,11,D
9.12,8.3,2.61,37.7,45,A
15.0,0,9.16,35.2,5.9,B
15.0,0,11.5,29.9,14,C
3.00,9.8,4.62,29.4,15,D
14.4,9.4,2.66,37.0,48,A
15.0,0,9.32,35.3,5.4,B
15.0,1.1,13.7,29.6,5.6,C
10.2,4.3,8.89,31.6,3.2,D
7.20,8.2,3.50,37.0,50,A
15.0,0,9.85,34.9,2.6,B
15.0,2.3,12.1,28.0,12,C
8.40,7.0,5.96,31.3,9.4,D
7.20,8.0,1.79,35.8,45,A
15.0,1.5,8.06,33.8,9.1,D
15.0,1.2,12.1,25.6,15,C
5.40,2.2,5.83,31.0,12,D
10.6,7.0,1.76,35.0,55,A
15.0,0,9.59,34.9,1.9,D
15.0,1.5,13.6,27.1,12,C
4.80,5.2,8.18,36.3,11,D
9.48,25,0.0,0.0,100,A
15.0,0,10.3,34.4,5.2,D
15.0,2.4,13.2,25.6,18,C
7.80,11,7.66,31.9,22,D
6.96,44,0.0,0.0,100,A
15.0,2.1,10.4,34.8,10,D
14.9,5.8,12.9,26.8,10,C
4.20,12,4.96,29.8,7.9,D
10.6,74,0.0,0.0,100,A
15.0,2.3,7.67,33.9,17,D
14.8,11,14.4,28.5,9.1,C
6.60,5.2,6.67,31.0,21,D
8.57,3.3,1.53,37.0,47,A
15.0,2.1,8.48,34.9,15,D
15.0,2.9,14.1,30.6,5.4,F
6.60,7.5,6.99,32.0,11,D
3.60,27,2.42,36.0,55,A
15.0,0,9.24,33.9,12,D
15.0,9.8,14.0,24.9,7.6,F
6.60,8.8,7.05,31.8,14,D
11.8,9.8,0.0,36.0,54,A
15.0,1.5,7.67,34.1,17,D
15.0,0,11.5,29.8,17,F
11.4,5.8,7.37,32.5,15,D
7.80,0,1.78,0.02,100,A
15.0,1.2,10.4,34.1,8.6,C
15.0,1.4,12.6,26.3,13,D
8.40,8.6,8.09,32.1,10,D
4.80,0,2.49,39.0,89,A
15.0,1.3,11.4,33.6,7.7,C
15.0,2.2,12.1,27.3,15,D
8.40,6.7,10.8,29.2,11,D
7.62,0,1.33,38.5,74,A
15.0,1.0,11.8,34.5,9.2,C
15.0,1.9,13.7,30.0,15,D
7.20,6.4,7.82,28.6,7.7,D
4.76,27,2.12,35.0,81,A
15.0,0,11.8,33.2,1.6,C
15.0,0,11.4,24.8,20,D
7.20,6.3,7.66,30.4,6.5,D
9.00,39,1.79,40.0,55,A
15.0,1.1,10.9,35.6,7.2,C
15.0,0,12.3,27.5,16,D
9.60,7.9,8.20,30.7,12,D
9.96,81,1.24,35.0,76,A
15.0,1.4,8.69,34.6,13,C
15.0,0,11.2,26.3,16,D
10.8,2.1,8.16,30.4,6.1,D
8.76,0,2.31,0.07,100,A
15.0,2.4,10.2,34.5,15,C
15.0,0,13.8,24.5,15,D
5.40,16,10.1,31.7,10,D
12.0,45,1.83,35.0,56,A
15.0,0,0.0,0.0,0,C
15.0,0,13.1,25.2,6.1,D
7.80,27,10.9,30.4,2.5,D
5.00,18,1.90,35.0,75,A
15.0,0,0.0,0.0,0,C
14.4,1.2,12.9,25.8,8.3,D
10.8,1.7,9.39,30.4,6.6,D
6.60,0,2.14,0.0,100,A
15.0,0,0.0,0.0,0,C
13.2,1.1,13.7,25.4,5.0,D
7.80,1.7,10.7,31.7,2.6,D
6.60,25,0.0,0.0,100,A
15.0,0,0.0,0.0,0,C
13.2,0,9.82,26.7,4.5,D
10.2,1.7,7.56,31.2,3.7,D
11.8,11,0.0,37.0,72,A
15.0,0,0.0,0.0,0,C
15.0,0,10.8,26.7,7.5,D
11.4,0,8.06,29.9,0,D
4.80,3.4,0.0,0.0,100,A
15.0,0,0.0,0.0,0,C
15.0,0,8.17,29.6,0,D
11.4,3.3,9.53,30.8,3.5,D
10.8,3.6,1.93,36.0,32,A
15.0,0,0.0,0.0,0,C
15.0,0,12.0,28.0,0,D
13.8,0,14.1,30.7,0,D
3.00,22,2.80,35.7,28,A
15.0,0,0.0,0.0,0,C
15.0,0,0.0,0.0,0,D
12.6,0,13.7,31.2,0,D
1.80,28,2.80,36.8,43,A
15.0,0,0.0,0.0,0,C
15.0,0,0.0,0.0,0,D
15.0,1.8,13.1,30.6,2.6,D
1.80,37,3.53,35.8,30,A
15.0,2.4,6.87,34.6,5.8,C
15.0,0,0.0,0.0,0,D
13.2,3.5,10.3,28.9,5.4,D
1.80,30,1.35,36.6,66,A
15.0,0,7.60,35.0,3.7,C
15.0,0,0.0,0.0,0,D
9.60,3.4,11.2,29.2,4.3,D
1.20,35,0.0,36.0,80,A
15.0,0,9.18,33.5,13,C
15.0,0,0.0,0.0,0,D
10.6,5.2,11.0,28.3,9.6,D
0.0,26,2.17,36.7,42,A
15.0,0,8.90,34.5,6.7,C
15.0,0,0.0,0.0,0,D
13.2,4.8,10.7,27.4,11,D
0.0,9.6,0.0,0.0,100,A
15.0,1.6,8.55,33.6,9.3,C
15.0,0,0.0,0.0,0,D
10.2,1.4,13.8,28.8,5.3,D
2.61,47,1.69,37.3,62,A
15.0,0,9.52,33.6,7.4,C
15.0,0,0.0,0.0,0,D
6.00,3.2,15.6,25.1,0,D
4.57,15,1.82,38.0,48,A
15.0,0,10.8,33.9,5.9,C
15.0,0,0.0,0.0,0,D
7.80,6.8,13.6,24.8,5.0,D
4.38,22,1.61,37.0,56,A
15.0,0,11.8,34.2,4.5,C
15.0,0,0.0,0.0,0,D
9.00,6.2,12.1,24.5,12,D
0.0,0,0.0,38.3,80,A
15.0,1.4,10.3,33.9,10.0,C
15.0,0,0.0,0.0,0,C
7.20,7.7,13.2,24.8,7.7,D
1.20,7.8,1.47,38.0,64,A
15.0,0,11.9,33.8,0,C
15.0,0,0.0,0.0,0,C
10.8,4.1,14.8,24.9,2.9,D
