@RELATION VideoQuality


@ATTRIBUTE cqi REAL
@ATTRIBUTE blerDown REAL
@ATTRIBUTE snr REAL
@ATTRIBUTE phr REAL
@ATTRIBUTE blerUp REAL
@ATTRIBUTE class {A,B,C,D,E,F,G}


@DATA
15.0,0,9.09,32.6,7.9,C
15.0,2.4,7.09,28.1,30,F
6.60,15,8.60,27.0,56,D
6.65,0,0.0,0.0,100,A
15.0,0,8.55,34.7,6.3,C
15.0,1.9,10.2,27.2,43,F
6.60,5.6,7.66,29.0,31,D
1.74,12,0.0,36.0,69,A
15.0,0,10.1,34.2,6.7,C
15.0,0,11.6,29.8,8.3,F
9.00,0,14.2,28.0,3.4,C
1.92,0,3.11,37.0,93,A
15.0,0,10.9,33.0,1.9,G
15.0,0,8.15,25.8,21,D
5.40,5.4,11.0,28.5,11,C
5.67,21,1.60,35.0,48,A
15.0,0,7.83,35.2,12,G
15.0,0,6.24,27.5,28,D
0.0,4.0,3.71,32.8,45,C
11.2,29,1.48,35.0,76,A
15.0,0,10.1,33.5,0,G
15.0,0,6.47,25.4,30,D
6.00,3.3,7.86,27.9,24,C
2.82,3.3,0.0,38.0,77,A
15.0,0,10.6,33.4,3.4,G
15.0,0,13.1,24.3,7.6,D
4.20,8.3,11.8,30.0,10,C
1.72,0,3.29,0.0,56,A
15.0,0,0.0,0.0,0,G
15.0,1.1,11.0,23.4,12,C
2.40,15,11.5,28.0,9.4,B
1.83,12,4.71,35.0,14,A
15.0,0,0.0,0.0,0,G
15.0,0,12.5,24.9,0,C
2.40,4.7,11.9,31.0,3.2,B
1.20,38,2.73,35.0,50,A
15.0,0,0.0,0.0,0,G
15.0,0,13.8,25.2,0,C
6.00,0,12.5,27.2,6.0,B
1.20,35,3.37,37.4,17,A
15.0,0,0.0,0.0,0,G
15.0,1.3,9.03,27.6,5.3,C
8.40,2.9,9.73,30.6,23,B
3.17,14,1.20,0.0,100,A
15.0,0,9.20,33.8,10,G
15.0,5.1,5.61,30.4,30,C
7.50,4.4,6.01,27.2,32,B
3.16,0,0.0,36.0,80,A
15.0,3.8,10.2,35.6,2.7,G
15.0,5.4,8.89,31.6,18,C
7.80,14,10.1,28.8,21,B
3.91,10.0,2.80,36.3,55,A
15.0,11,9.75,34.8,4.5,G
15.0,2.8,10.1,28.7,15,C
7.80,3.6,9.71,30.7,19,B
4.20,12,4.03,36.5,25,A
15.0,0,7.80,34.9,6.1,G
15.0,6.7,6.50,27.2,30,C
11.4,6.6,8.06,29.9,19,D
6.00,40,3.69,34.7,45,A
15.0,0,8.33,34.1,3.1,C
15.0,2.2,8.08,28.1,20,C
7.80,9.8,9.28,32.1,23,D
6.86,11,2.44,35.3,51,A
15.0,0,6.04,34.0,6.7,C
15.0,0,11.3,27.3,7.6,C
6.00,6.2,12.3,28.8,8.6,D
5.70,14,2.30,37.2,47,A
15.0,1.1,6.33,34.7,4.1,C
15.0,2.5,10.9,29.5,17,C
7.20,6.7,13.5,31.1,1.6,D
4.30,14,2.73,36.2,44,A
15.0,1.8,4.88,34.0,15,C
15.0,1.3,8.88,31.1,18,C
2.40,9.5,4.32,28.2,37,C
12.1,0,1.09,0.0,100,A
15.0,0,5.41,35.4,10.0,G
15.0,0,6.91,29.6,25,C
7.80,2.9,8.22,28.6,45,C
6.00,0,3.54,38.0,34,A
15.0,0,7.31,34.9,4.0,G
15.0,3.8,8.81,32.2,18,C
4.20,2.5,9.58,29.6,10.0,C
10.6,7.6,3.50,35.2,34,A
15.0,0,7.29,34.7,4.3,G
15.0,0,8.26,30.0,32,C
7.20,1.4,7.79,30.6,39,C
6.14,7.6,2.90,34.8,34,A
15.0,0,6.01,34.9,8.1,G
15.0,0,9.80,28.3,22,C
9.60,0,13.1,32.5,9.7,C
1.80,20,6.71,35.0,57,A
15.0,0,6.76,33.8,6.0,G
15.0,1.4,10.5,29.9,14,C
7.20,2.2,12.6,30.9,4.1,C
6.96,6.5,3.84,36.3,27,A
15.0,0,0.0,0.0,0,G
15.0,2.3,10.2,28.7,15,C
9.60,3.2,12.9,31.5,3.9,C
5.16,14,2.89,34.6,33,A
15.0,0,0.0,0.0,0,G
15.0,0,12.3,29.8,5.8,C
4.80,11,11.7,31.1,11,C
9.00,11,3.83,35.5,15,A
15.0,0,0.0,0.0,0,G
15.0,1.7,10.7,29.9,11,C
10.2,4.9,13.0,30.9,2.2,C
8.75,13,3.58,34.4,20,A
15.0,0,0.0,0.0,0,G
15.0,1.4,9.87,30.2,15,C
7.80,13,11.5,30.9,11,E
8.88,35,2.50,35.5,41,A
15.0,0,0.0,0.0,0,G
15.0,0,9.53,29.0,0,C
9.60,3.4,13.8,29.9,0,E
6.52,10.0,3.91,36.1,16,A
15.0,0,0.0,0.0,0,G
15.0,0,0.0,0.0,0,C
9.60,0,14.3,30.0,1.0,E
4.57,9.5,3.30,34.9,24,A
15.0,0,0.0,0.0,0,G
15.0,0,0.0,0.0,0,C
10.2,1.1,12.6,31.2,3.9,E
3.60,28,4.93,35.2,49,A
15.0,0,4.57,34.3,12,G
15.0,0,0.0,0.0,0,C
7.80,3.3,11.2,29.7,7.0,E
0.0,28,4.01,35.8,36,A
15.0,1.2,5.99,34.4,6.8,G
15.0,0,0.0,0.0,0,C
9.60,6.7,11.3,30.1,4.2,E
0.0,32,3.98,38.0,37,A
15.0,1.0,5.03,34.7,11,G
15.0,0,0.0,0.0,0,C
10.2,4.1,10.9,31.2,10,E
2.40,35,1.85,36.0,51,A
15.0,0,5.38,34.9,6.9,G
15.0,0,0.0,0.0,0,C
6.60,1.6,12.3,33.4,6.0,F
4.80,38,5.56,36.1,20,A
15.0,0,5.96,34.7,11,C
15.0,0,0.0,0.0,0,C
10.2,1.4,13.4,30.4,5.1,F
4.20,30,3.16,35.8,39,A
15.0,0,5.67,35.6,15,C
15.0,0,0.0,0.0,0,C
9.60,7.4,10.1,30.7,11,F
3.00,25,4.09,36.0,35,A
15.0,0,7.20,35.2,0,C
15.0,0,0.0,0.0,0,C
7.20,13,12.0,30.0,8.1,F
0.0,8.8,3.72,36.0,55,A
15.0,0,6.52,34.9,7.1,C
15.0,0,0.0,0.0,0,C
10.2,13,10.1,30.8,14,D
1.20,26,3.70,34.0,53,D
15.0,1.1,5.80,34.5,6.9,C
15.0,0,0.0,0.0,0,C
9.60,4.8,9.63,32.6,20,D
0.0,62,2.94,36.5,60,D
15.0,0,6.09,34.8,6.7,C
15.0,0,0.0,0.0,0,C
6.60,1.1,15.1,31.1,0,D
0.0,14,4.51,37.5,60,D
15.0,0,8.63,35.3,3.7,C
15.0,0,6.18,26.04,0,C
7.20,18,14.2,31.0,0,D
0.0,7.2,3.61,36.2,56,D
14.4,0,8.09,34.4,0,C
15.0,0,0.0,0.0,0,C
3.00,0,11.9,29.08,0,D
3.60,6.1,5.91,34.8,34,F
15.0,0,9.24,34.8,0,C
15.0,0,0.0,0.0,0,C
2.40,0,0.0,0.0,0,D
5.40,7.8,5.83,35.0,18,F
15.0,0,9.22,35.0,1.8,C
15.0,0,0.0,0.0,0,C
4.20,0,5.98,27.55,33,D
1.80,6.2,3.13,34.0,36,F
15.0,0,8.30,35.5,0,C
15.0,7.1,8.80,31.3,21,C
6.60,50,5.60,34.5,36,D
4.20,17,4.68,34.0,41,F
15.0,0,8.61,35.3,0,C
15.0,1.2,10.4,30.5,14,C
7.20,0,15.4,30.01,0,D
3.00,16,3.59,35.0,48,F
15.0,0,8.31,34.8,0,D
15.0,0,9.55,33.5,12,C
7.20,0,7.21,40.09,33,D
9.00,35,3.61,34.0,33,F
15.0,1.9,6.75,35.0,6.1,D
15.0,1.9,9.54,33.3,13,C
3.60,0,0.0,0.0,0,D
8.60,7.6,4.36,35.0,40,F
15.0,1.7,6.30,34.9,6.4,D
15.0,0,12.3,30.6,11,C
3.60,0,0.0,0.0,0,D
2.16,19,3.54,34.0,39,F
15.0,0,8.42,34.6,4.5,D
15.0,0,10.1,28.3,40,C
3.60,0,0.0,0.0,0,D
2.40,14,3.93,34.8,36,F
15.0,0,8.35,34.4,0,D
15.0,1.4,8.62,33.4,16,C
4.80,0,0.0,27.02,50,D
5.60,13,3.43,36.3,55,F
15.0,0,8.04,36.2,1.7,D
15.0,0,9.23,30.0,18,C
0.0,0,0.0,28.0,0,D
8.04,9.6,4.47,34.1,23,F
15.0,0,7.10,35.0,0,D
15.0,0,12.5,28.5,0,C
0.0,0,0.0,0.0,0,D
3.48,10,5.40,34.1,11,F
15.0,0,0.0,0.0,0,D
15.0,0,13.0,28.1,0,C
0.0,0,0.0,0.0,0,C
5.59,14,5.45,34.2,13,F
15.0,0,0.0,0.0,0,D
15.0,0,12.7,27.6,0,C
0.0,0,0.0,0.0,0,C
4.80,10,5.83,34.5,11,F
15.0,0,0.0,0.0,0,D
15.0,0,14.0,29.1,0,C
0.0,0,0.0,0.0,0,C
3.75,20,5.65,34.0,6.0,F
15.0,0,0.0,0.0,0,D
15.0,0,13.3,27.6,0,C
0.0,0,0.0,0.0,0,C
6.36,6.3,5.59,34.6,7.5,F
15.0,0,0.0,0.0,0,D
15.0,0,14.0,27.1,0,C
0.0,0,0.0,0.0,0,C
6.00,16,4.57,34.8,18,A
15.0,0,0.0,0.0,0,C
15.0,0,14.3,28.1,0,C
0.0,0,0.0,0.0,0,C
6.52,5.4,4.86,34.3,18,A
15.0,0,0.0,0.0,0,C
15.0,0,14.6,26.8,0,C
0.0,0,0.0,0.0,0,C
9.91,6.6,4.42,34.3,18,A
15.0,0,0.0,0.0,0,C
15.0,0,15.0,29.0,0,C
0.0,0,0.0,0.0,0,C
5.21,2.8,5.79,34.1,6.4,A
15.0,0,0.0,0.0,0,C
15.0,0,14.1,28.6,0,C
0.0,0,0.0,0.0,0,C
6.14,16,3.81,34.1,20,A
15.0,0,0.0,0.0,0,C
15.0,0,14.4,28.3,0,C
0.0,0,0.0,0.0,0,C
8.13,4.4,4.96,34.1,6.8,A
15.0,0,10.5,37.0,0,C
15.0,0,14.9,28.41,0,C
0.0,0,0.0,0.0,0,C
5.85,11,3.55,34.6,22,A
15.0,0,0.0,0.0,0,C
15.0,0,14.4,28.2,1.8,C
0.0,0,0.0,0.0,0,C
3.62,8.7,5.22,34.2,5.1,A
15.0,0,0.0,0.0,0,C
15.0,1.2,14.3,29.1,9.9,C
1.25,34,11.3,29.1,11,C
5.12,11,2.27,34.0,46,A
15.0,0,0.0,0.0,0,C
